State,District,Latitude,Longitude,ResolvedLocation,CoordinateSource,Year,Rainfall,Temperature,WeatherAggregation,WeatherDataSource
Telangana,Nalgonda,16.8759835692122,79.20093706029775,Nalgonda,geoBoundaries India ADM2 centroid,2013,1022.2,27.39,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Telangana,Nalgonda,16.8759835692122,79.20093706029775,Nalgonda,geoBoundaries India ADM2 centroid,2014,708.6,27.92,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Telangana,Nalgonda,16.8759835692122,79.20093706029775,Nalgonda,geoBoundaries India ADM2 centroid,2015,695.8,28.32,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Telangana,Nalgonda,16.8759835692122,79.20093706029775,Nalgonda,geoBoundaries India ADM2 centroid,2016,905.0,27.95,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Telangana,Nalgonda,16.8759835692122,79.20093706029775,Nalgonda,geoBoundaries India ADM2 centroid,2017,893.5,28.37,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Telangana,Nalgonda,16.8759835692122,79.20093706029775,Nalgonda,geoBoundaries India ADM2 centroid,2018,620.2,28.42,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Telangana,Nalgonda,16.8759835692122,79.20093706029775,Nalgonda,geoBoundaries India ADM2 centroid,2019,833.1,28.67,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Telangana,Nalgonda,16.8759835692122,79.20093706029775,Nalgonda,geoBoundaries India ADM2 centroid,2020,1270.0,27.85,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Telangana,Nalgonda,16.8759835692122,79.20093706029775,Nalgonda,geoBoundaries India ADM2 centroid,2021,904.2,27.95,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Telangana,Nalgonda,16.8759835692122,79.20093706029775,Nalgonda,geoBoundaries India ADM2 centroid,2022,1277.0,27.67,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Telangana,Nalgonda,16.8759835692122,79.20093706029775,Nalgonda,geoBoundaries India ADM2 centroid,2023,1069.3,28.59,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Telangana,Nizamabad,18.69592319300049,78.21309030263654,Nizamabad,geoBoundaries India ADM2 centroid,2013,1438.7,25.94,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Telangana,Nizamabad,18.69592319300049,78.21309030263654,Nizamabad,geoBoundaries India ADM2 centroid,2014,813.9,26.43,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Telangana,Nizamabad,18.69592319300049,78.21309030263654,Nizamabad,geoBoundaries India ADM2 centroid,2015,674.7,26.6,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Telangana,Nizamabad,18.69592319300049,78.21309030263654,Nizamabad,geoBoundaries India ADM2 centroid,2016,1049.6,26.82,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Telangana,Nizamabad,18.69592319300049,78.21309030263654,Nizamabad,geoBoundaries India ADM2 centroid,2017,781.0,26.58,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
